name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Nene,"Washington Wizards",2016-02-26,2015,,1610612764,400828749,3,3,05,0,"Jump Shot","2PT Field Goal",4,"Philadelphia 76ers",9,46,0,0.00,,0.00,0.00
"Tony Wroten","Philadelphia 76ers",2015-12-20,2015,6630,1610612755,400828292,3,0,50,0,"Jump Shot","2PT Field Goal",6,"Cleveland Cavaliers",-6,61,6,5.10,"Dellavedova, Matthew",1.70,18.80
"Thaddeus Young","Brooklyn Nets",2016-01-09,2015,3244,1610612751,400828440,4,5,15,0,"Jump Shot","2PT Field Goal",13,"Detroit Pistons",-137,2,0,1.00,"Tolliver, Anthony",5.40,6.20
"Mirza Teletovic","Phoenix Suns",2015-12-20,2015,4385,1610612756,400828293,2,3,40,0,"Jump Shot","3PT Field Goal",24,"Milwaukee Bucks",48,237,0,0.70,"Parker, Jabari",3.10,16.20
"KarlAnthony Towns","Minnesota Timberwolves",2016-04-07,2015,3136195,1610612750,400829063,2,6,08,1,"Jump Shot","3PT Field Goal",24,"Sacramento Kings",-55,242,0,0.00,,0.00,0.00
"Nikola Vucevic","Orlando Magic",2016-04-10,2015,6478,1610612753,400829087,3,3,32,0,"Jump Shot","2PT Field Goal",15,"Miami Heat",-115,100,0,0.00,,0.00,0.00
"Derrick Rose","Chicago Bulls",2016-04-09,2015,3456,1610612741,400829078,1,1,19,0,"Jump Shot","2PT Field Goal",13,"Cleveland Cavaliers",133,36,0,0.00,,0.00,0.00
"Mirza Teletovic","Phoenix Suns",2015-12-20,2015,4385,1610612756,400828293,2,2,02,0,"Jump Shot","3PT Field Goal",22,"Milwaukee Bucks",-228,-1,0,0.60,"Monroe, Greg",4.90,19.20
"Mirza Teletovic","Phoenix Suns",2016-01-19,2015,4385,1610612756,400828515,2,8,06,0,"Jump Shot","3PT Field Goal",25,"Indiana Pacers",184,178,0,0.70,"Hill, Jordan",4.60,12.00
"Mirza Teletovic","Phoenix Suns",2015-12-20,2015,4385,1610612756,400828293,2,2,23,0,"Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",-66,242,0,0.90,"Middleton, Khris",2.80,10.10
