name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Alex Len","Phoenix Suns",2015-12-21,2015,2596107,1610612756,400828304,1,1,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,"Favors, Derrick",1.90,2.70
"DeAndre Jordan","Los Angeles Clippers",2016-03-11,2015,3442,1610612746,400828859,2,0,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",9,3,0,0.00,,0.00,0.00
"Kevin Love","Cleveland Cavaliers",2016-01-20,2015,3449,1610612739,400828518,1,5,52,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,1.20,"Sloan, Donald",6.80,15.80
"DeAndre Jordan","Los Angeles Clippers",2016-03-20,2015,3442,1610612746,400828927,4,1,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Markieff Morris","Washington Wizards",2016-03-14,2015,6461,1610612764,400828876,2,5,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,0,0.00,,0.00,0.00
"JaVale McGee","Dallas Mavericks",2016-01-22,2015,3452,1610612742,400828538,2,9,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,"Kanter, Enes",4.90,16.30
"DeAndre Jordan","Los Angeles Clippers",2015-12-31,2015,3442,1610612746,400828374,2,5,32,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,1.00,"Evans, Tyreke",5.10,8.00
"DeAndre Jordan","Los Angeles Clippers",2016-03-11,2015,3442,1610612746,400828859,1,0,45,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Serge Ibaka","Oklahoma City Thunder",2015-12-31,2015,3439,1610612760,400828375,3,6,13,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,"Chandler, Tyson",4.80,14.20
"LeBron James","Cleveland Cavaliers",2015-12-20,2015,1966,1610612739,400828292,2,3,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,"Canaan, Isaiah",1.50,20.50
"Kawhi Leonard","San Antonio Spurs",2016-01-11,2015,6450,1610612759,400828453,2,5,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,"Johnson, Joe",2.60,15.30
"JaVale McGee","Dallas Mavericks",2016-01-22,2015,3452,1610612742,400828538,3,0,52,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,"Durant, Kevin",10.30,16.70
