personId,playerFullName
1629012,Collin Sexton
1629013,Landry Shamet
1629014,Anfernee Simons
1629015,Zhaire Smith
1629016,Omari Spellman
1629017,Khyri Thomas
1629018,Gary Trent Jr.
1629019,Allonzo Trier
1629020,Jarred Vanderbilt
1629021,Moritz Wagner
1629022,Lonnie Walker IV
1629023,P.J. Washington
1629026,Kenrich Williams
1629027,Trae Young
1629028,Deandre Ayton
1629029,Luka Dončić
1629033,Theo Pinson
1629034,Ray Spalding
1629035,Carsen Edwards
1629044,Shamorie Ponds
1629045,Bonzie Colson
1629048,Goga Bitadze
1629052,Oshae Brissett
1629053,Vincent Edwards
1629055,Donte Grantham
1629056,Terence Davis
1629057,Robert Williams III
1629058,Dzanan Musa
1629059,Elie Okobo
1629060,Rui Hachimura
1629061,Deng Adel
1629065,Ky Bowman
1629066,Rodions Kurucs
1629067,Isaac Bonga
1629076,Tyler Cook
1629083,Arnoldas Kulboka
1629091,Elijah Bryant
1629093,Tyler Davis
1629094,Marcus Derrickson
1629098,Jack McVeigh
1629102,Brandon Sampson
1629103,Kelan Martin
1629109,Gary Clark
1629111,Jock Landale
1629116,Angel Delgado
1629117,Wenyen Gabriel
1629118,Thomas Welsh
1629121,Jaylen Adams
1629122,J.P. Macura
1629123,Jared Terrell
1629126,Deonte Burton
1629129,Trevon Bluiett
1629130,Duncan Robinson
1629133,Daryl Macon
1629134,Kendrick Nunn
1629139,Yuta Watanabe
1629140,Johnathan Williams
1629147,Joe Chealey
1629150,Emanuel Terry
1629151,Ryan Broekhoff
1629152,DeVaughn Akoon-Purcell
1629155,Zach Lofton
1629162,Jordan McLaughlin
1629164,Brandon Goodwin
1629168,BJ Johnson
1629185,Chris Chiozza
1629203,Jemerrio Jones
1629216,Gabe Vincent
1629232,Kaiser Gates
1629234,Drew Eubanks
1629244,Cam Reynolds
1629308,Juan Toscano-Anderson
1629309,Trayvon Palmer
1629312,Haywood Highsmith
1629341,Tarik Phillip
1629346,Alen Smailagic
1629353,Isaac Humphries
1629541,Dairis Bertans
1629597,Zylan Cheatham
1629598,Chris Clemons
1629599,Amir Coffey
1629600,Jarron Cumberland
1629602,Javin DeLaurier
1629603,Mamadi Diakite
1629604,CJ Elleby
1629605,Tacko Fall
1629606,Robert Franks
1629607,Jared Harper
1629608,Dewan Hernandez
1629610,DaQuan Jeffries
1629611,Terance Mann
1629614,Andrew Nembhard
1629617,Reggie Perry
1629618,Jalen Pickett
1629619,Myles Powell
1629620,Justin Robinson
1629621,Marial Shayok
1629622,Max Strus
1629623,Lindell Wigginton
1629624,Kenny Wooten
1629625,Justin Wright-Foreman
1629626,Bol Bol
1629627,Zion Williamson
1629628,RJ Barrett
1629629,Cam Reddish
1629630,Ja Morant
1629631,De'Andre Hunter
1629632,Coby White
1629633,Jarrett Culver
1629634,Brandon Clarke
1629635,Sekou Doumbouya
1629636,Darius Garland
1629637,Jaxson Hayes
1629638,Nickeil Alexander-Walker
1629639,Tyler Herro
1629640,Keldon Johnson
1629641,Romeo Langford
1629642,Nassir Little
1629643,Chuma Okeke
1629644,KZ Okpala
1629645,Kevin Porter Jr.
1629646,Charles Bassey
1629647,Darius Bazley
1629648,Jordan Bone
1629649,Ignas Brazdeikis
1629650,Moses Brown
1629651,Nic Claxton
1629652,Luguentz Dort
1629653,Devon Dotson
1629655,Daniel Gafford
1629656,Quentin Grimes
1629657,Kyle Guy
1629658,Jaylen Hoard
1629659,Talen Horton-Tucker
1629660,Ty Jerome
1629661,Cameron Johnson
1629662,Mfiondu Kabengele
1629663,Louis King
1629665,Jalen Lecque
1629667,Jalen McDaniels
1629668,Zach Norvell Jr.
1629669,Jaylen Nowell
1629670,Jordan Nwora
1629671,Miye Oni
1629672,Eric Paschall
1629673,Jordan Poole
1629674,Neemias Queta
1629675,Naz Reid
1629676,Isaiah Roby
1629677,Luka Samanic
1629678,Admiral Schofield
1629680,Matisse Thybulle
1629681,Killian Tillie
1629682,Tremont Waters
1629683,Quinndary Weatherspoon
1629684,Grant Williams
1629685,Dylan Windler
1629686,Deividas Sirvydis
1629690,Adam Mokoka
1629712,Didi Louzada
1629713,Justin James
1629714,Jarrell Brantley
1629716,Marques Bolden
1629717,Armoni Brooks
1629718,Charlie Brown Jr.
1629719,Devontae Cacok
1629723,John Konchar
1629724,Vic Law
1629725,Jeremiah Martin
1629726,Garrison Mathews
1629729,Josh Reaves
1629730,Rayjon Tucker
1629731,Dean Wade
1629734,Kyle Alexander
1629735,Chris Silva
1629738,Vincent Poirier
1629739,William Howard
1629740,Nicolo Melli
1629741,Marko Guduric
1629742,Stanton Kidd
1629743,Donta Hall
1629744,Matt Thomas
1629745,Tariq Owens
1629750,Javonte Green
1629751,Dakota Mathias
1629752,Juwan Morgan
1629755,Hassani Gravett
1629760,Matt Mooney
1629783,Shaq Buchanan
1629788,Tyler Hall
1629833,Keljin Blevins
1629873,Jaysean Paige
1629875,Xavier Moon
